Date,Day of the week,Include/Not_Include
2017-01-01,1,Weekend
2017-01-02,2,Holiday
2017-01-03,3,Weekday
2017-01-04,4,Weekday
2017-01-05,5,Weekday
2017-01-06,6,Weekday
2017-01-07,7,Weekend
2017-01-08,1,Weekend
2017-01-09,2,Weekday
2017-01-10,3,Weekday
2017-01-11,4,Weekday
2017-01-12,5,Weekday
2017-01-13,6,Weekday
2017-01-14,7,Weekend
2017-01-15,1,Weekend
2017-01-16,2,Holiday
2017-01-17,3,Weekday
2017-01-18,4,Weekday
2017-01-19,5,Weekday
2017-01-20,6,Weekday
2017-01-21,7,Weekend
2017-01-22,1,Weekend
2017-01-23,2,Weekday
2017-01-24,3,Weekday
2017-01-25,4,Weekday
2017-01-26,5,Weekday
2017-01-27,6,Weekday
2017-01-28,7,Weekend
2017-01-29,1,Weekend
2017-01-30,2,Weekday
2017-01-31,3,Weekday
2017-02-01,4,Weekday
2017-02-02,5,Weekday
2017-02-03,6,Weekday
2017-02-04,7,Weekend
2017-02-05,1,Weekend
2017-02-06,2,Weekday
2017-02-07,3,Weekday
2017-02-08,4,Weekday
2017-02-09,5,Weekday
2017-02-10,6,Weekday
2017-02-11,7,Weekend
2017-02-12,1,Weekend
2017-02-13,2,Weekday
2017-02-14,3,Weekday
2017-02-15,4,Weekday
2017-02-16,5,Weekday
2017-02-17,6,Weekday
2017-02-18,7,Weekend
2017-02-19,1,Weekend
2017-02-20,2,Holiday
2017-02-21,3,Weekday
2017-02-22,4,Weekday
2017-02-23,5,Weekday
2017-02-24,6,Weekday
2017-02-25,7,Weekend
2017-02-26,1,Weekend
2017-02-27,2,Weekday
2017-02-28,3,Weekday
2017-03-01,4,Weekday
2017-03-02,5,Weekday
2017-03-03,6,Weekday
2017-03-04,7,Weekend
2017-03-05,1,Weekend
2017-03-06,2,Weekday
2017-03-07,3,Weekday
2017-03-08,4,Weekday
2017-03-09,5,Weekday
2017-03-10,6,Weekday
2017-03-11,7,Weekend
2017-03-12,1,Weekend
2017-03-13,2,Weekday
2017-03-14,3,Weekday
2017-03-15,4,Weekday
2017-03-16,5,Weekday
2017-03-17,6,Weekday
2017-03-18,7,Weekend
2017-03-19,1,Weekend
2017-03-20,2,Weekday
2017-03-21,3,Weekday
2017-03-22,4,Weekday
2017-03-23,5,Weekday
2017-03-24,6,Weekday
2017-03-25,7,Weekend
2017-03-26,1,Weekend
2017-03-27,2,Weekday
2017-03-28,3,Weekday
2017-03-29,4,Weekday
2017-03-30,5,Weekday
2017-03-31,6,Weekday
2017-04-01,7,Weekend
2017-04-02,1,Weekend
2017-04-03,2,Weekday
2017-04-04,3,Weekday
2017-04-05,4,Weekday
2017-04-06,5,Weekday
2017-04-07,6,Weekday
2017-04-08,7,Weekend
2017-04-09,1,Weekend
2017-04-10,2,Weekday
2017-04-11,3,Weekday
2017-04-12,4,Weekday
2017-04-13,5,Weekday
2017-04-14,6,Weekday
2017-04-15,7,Weekend
2017-04-16,1,Weekend
2017-04-17,2,Weekday
2017-04-18,3,Weekday
2017-04-19,4,Weekday
2017-04-20,5,Weekday
2017-04-21,6,Weekday
2017-04-22,7,Weekend
2017-04-23,1,Weekend
2017-04-24,2,Weekday
2017-04-25,3,Weekday
2017-04-26,4,Weekday
2017-04-27,5,Weekday
2017-04-28,6,Weekday
2017-04-29,7,Weekend
2017-04-30,1,Weekend
2017-05-01,2,Weekday
2017-05-02,3,Weekday
2017-05-03,4,Weekday
2017-05-04,5,Weekday
2017-05-05,6,Weekday
2017-05-06,7,Weekend
2017-05-07,1,Weekend
2017-05-08,2,Weekday
2017-05-09,3,Weekday
2017-05-10,4,Weekday
2017-05-11,5,Weekday
2017-05-12,6,Weekday
2017-05-13,7,Weekend
2017-05-14,1,Weekend
2017-05-15,2,Weekday
2017-05-16,3,Weekday
2017-05-17,4,Weekday
2017-05-18,5,Weekday
2017-05-19,6,Weekday
2017-05-20,7,Weekend
2017-05-21,1,Weekend
2017-05-22,2,Weekday
2017-05-23,3,Weekday
2017-05-24,4,Weekday
2017-05-25,5,Weekday
2017-05-26,6,Weekday
2017-05-27,7,Weekend
2017-05-28,1,Weekend
2017-05-29,2,Holiday
2017-05-30,3,Weekday
2017-05-31,4,Weekday
2017-06-01,5,Weekday
2017-06-02,6,Weekday
2017-06-03,7,Weekend
2017-06-04,1,Weekend
2017-06-05,2,Weekday
2017-06-06,3,Weekday
2017-06-07,4,Weekday
2017-06-08,5,Weekday
2017-06-09,6,Weekday
2017-06-10,7,Weekend
2017-06-11,1,Weekend
2017-06-12,2,Weekday
2017-06-13,3,Weekday
2017-06-14,4,Weekday
2017-06-15,5,Weekday
2017-06-16,6,Weekday
2017-06-17,7,Weekend
2017-06-18,1,Weekend
2017-06-19,2,Weekday
2017-06-20,3,Weekday
2017-06-21,4,Weekday
2017-06-22,5,Weekday
2017-06-23,6,Weekday
2017-06-24,7,Weekend
2017-06-25,1,Weekend
2017-06-26,2,Weekday
2017-06-27,3,Weekday
2017-06-28,4,Weekday
2017-06-29,5,Weekday
2017-06-30,6,Weekday
2017-07-01,7,Weekend
2017-07-02,1,Weekend
2017-07-03,2,Weekday
2017-07-04,3,Holiday
2017-07-05,4,Weekday
2017-07-06,5,Weekday
2017-07-07,6,Weekday
2017-07-08,7,Weekend
2017-07-09,1,Weekend
2017-07-10,2,Weekday
2017-07-11,3,Weekday
2017-07-12,4,Weekday
2017-07-13,5,Weekday
2017-07-14,6,Weekday
2017-07-15,7,Weekend
2017-07-16,1,Weekend
2017-07-17,2,Weekday
2017-07-18,3,Weekday
2017-07-19,4,Weekday
2017-07-20,5,Weekday
2017-07-21,6,Weekday
2017-07-22,7,Weekend
2017-07-23,1,Weekend
2017-07-24,2,Weekday
2017-07-25,3,Weekday
2017-07-26,4,Weekday
2017-07-27,5,Weekday
2017-07-28,6,Weekday
2017-07-29,7,Weekend
2017-07-30,1,Weekend
2017-07-31,2,Weekday
2017-08-01,3,Weekday
2017-08-02,4,Weekday
2017-08-03,5,Weekday
2017-08-04,6,Weekday
2017-08-05,7,Weekend
2017-08-06,1,Weekend
2017-08-07,2,Weekday
2017-08-08,3,Weekday
2017-08-09,4,Weekday
2017-08-10,5,Weekday
2017-08-11,6,Weekday
2017-08-12,7,Weekend
2017-08-13,1,Weekend
2017-08-14,2,Weekday
2017-08-15,3,Weekday
2017-08-16,4,Weekday
2017-08-17,5,Weekday
2017-08-18,6,Weekday
2017-08-19,7,Weekend
2017-08-20,1,Weekend
2017-08-21,2,Weekday
2017-08-22,3,Weekday
2017-08-23,4,Weekday
2017-08-24,5,Weekday
2017-08-25,6,Weekday
2017-08-26,7,Weekend
2017-08-27,1,Weekend
2017-08-28,2,Weekday
2017-08-29,3,Weekday
2017-08-30,4,Weekday
2017-08-31,5,Weekday
2017-09-01,6,Weekday
2017-09-02,7,Weekend
2017-09-03,1,Weekend
2017-09-04,2,Holiday
2017-09-05,3,Weekday
2017-09-06,4,Weekday
2017-09-07,5,Weekday
2017-09-08,6,Weekday
2017-09-09,7,Weekend
2017-09-10,1,Weekend
2017-09-11,2,Weekday
2017-09-12,3,Weekday
2017-09-13,4,Weekday
2017-09-14,5,Weekday
2017-09-15,6,Weekday
2017-09-16,7,Weekend
2017-09-17,1,Weekend
2017-09-18,2,Weekday
2017-09-19,3,Weekday
2017-09-20,4,Weekday
2017-09-21,5,Weekday
2017-09-22,6,Weekday
2017-09-23,7,Weekend
2017-09-24,1,Weekend
2017-09-25,2,Weekday
2017-09-26,3,Weekday
2017-09-27,4,Weekday
2017-09-28,5,Weekday
2017-09-29,6,Weekday
2017-09-30,7,Weekend
2017-10-01,1,Weekend
2017-10-02,2,Weekday
2017-10-03,3,Weekday
2017-10-04,4,Weekday
2017-10-05,5,Weekday
2017-10-06,6,Weekday
2017-10-07,7,Weekend
2017-10-08,1,Weekend
2017-10-09,2,Holiday
2017-10-10,3,Weekday
2017-10-11,4,Weekday
